maHuyen,tenHuyen,maTinh,tenTinh
40113,Huyện Bá Thước,401,Thanh Hoá
40115,Huyện Cẩm Thuỷ,401,Thanh Hoá
40143,Huyện Hoằng Hoá,401,Thanh Hoá
40131,Huyện Hà Trung,401,Thanh Hoá
40139,Huyện Hậu Lộc,401,Thanh Hoá
40117,Huyện Lang Chánh,401,Thanh Hoá
40107,Huyện Mường Lát,401,Thanh Hoá
40133,Huyện Nga Sơn,401,Thanh Hoá
40121,Huyện Ngọc Lặc,401,Thanh Hoá
40127,Huyện Như Thanh,401,Thanh Hoá
40125,Huyện Như Xuân,401,Thanh Hoá
40151,Huyện Nông Cống,401,Thanh Hoá
40109,Huyện Quan Hoá,401,Thanh Hoá
40111,Huyện Quan Sơn,401,Thanh Hoá
40149,Huyện Quảng Xương,401,Thanh Hoá
40141,Huyện Thiệu Hoá,401,Thanh Hoá
40123,Huyện Thường Xuân,401,Thanh Hoá
40119,Huyện Thạch Thành,401,Thanh Hoá
40137,Huyện Thọ Xuân,401,Thanh Hoá
40147,Huyện Triệu Sơn,401,Thanh Hoá
40129,Huyện Vĩnh Lộc,401,Thanh Hoá
40135,Huyện Yên Định,401,Thanh Hoá
40145,Huyện Đông Sơn,401,Thanh Hoá
40105,Thành Phố Sầm Sơn,401,Thanh Hoá
40101,Thành phố Thanh Hoá,401,Thanh Hoá
40103,Thị xã Bỉm Sơn,401,Thanh Hoá
40153,Thị xã Nghi Sơn,401,Thanh Hoá
11505,Huyện Hưng Hà,115,Thái Bình
11513,Huyện Kiến Xương,115,Thái Bình
11503,Huyện Quỳnh Phụ,115,Thái Bình
11507,Huyện Thái Thụy,115,Thái Bình
11515,Huyện Tiền Hải,115,Thái Bình
11511,Huyện Vũ Thư,115,Thái Bình
11509,Huyện Đông Hưng,115,Thái Bình
11501,Thành phố Thái Bình,115,Thái Bình
21515,Huyện Phú Bình,215,Thái Nguyên
21509,Huyện Phú Lương,215,Thái Nguyên
21507,Huyện Võ Nhai,215,Thái Nguyên
21513,Huyện Đại Từ,215,Thái Nguyên
21505,Huyện Định Hoá,215,Thái Nguyên
21511,Huyện Đồng Hỷ,215,Thái Nguyên
21503,Thành Phố Sông Công,215,Thái Nguyên
21517,Thành phố Phổ Yên,215,Thái Nguyên
21501,Thành phố Thái Nguyên,215,Thái Nguyên
41115,Huyện A Lưới,411,Thừa Thiên - Huế
41117,Huyện Nam Đông,411,Thừa Thiên - Huế
41103,Huyện Phong ĐIền,411,Thừa Thiên - Huế
41113,Huyện Phú Lộc,411,Thừa Thiên - Huế
41109,Huyện Phú Vang,411,Thừa Thiên - Huế
41105,Huyện Quảng ĐIền,411,Thừa Thiên - Huế
41101,Thành phố Huế,411,Thừa Thiên - Huế
41107,Thị Xã Hương Trà,411,Thừa Thiên - Huế
41111,Thị xã  Hương Thuỷ,411,Thừa Thiên - Huế
80709,Huyện Cai Lậy,807,Tiền Giang
80707,Huyện Châu Thành,807,Tiền Giang
80711,Huyện Chợ Gạo,807,Tiền Giang
80713,Huyện Cái Bè,807,Tiền Giang
80715,Huyện Gò Công Tây,807,Tiền Giang
80717,Huyện Gò Công Đông,807,Tiền Giang
80719,Huyện Tân Phú Đông,807,Tiền Giang
80705,Huyện Tân Phước,807,Tiền Giang
80701,Thành phố Mỹ Tho,807,Tiền Giang
80721,Thị Xã Cai Lậy,807,Tiền Giang
80703,Thị xã Gò Công,807,Tiền Giang
81705,Huyện Châu Thành,817,Trà Vinh
81703,Huyện Càng Long,817,Trà Vinh
81707,Huyện Cầu Kè,817,Trà Vinh
81711,Huyện Cầu Ngang,817,Trà Vinh
81715,Huyện Duyên Hải,817,Trà Vinh
81709,Huyện Tiểu Cần,817,Trà Vinh
81713,Huyện Trà Cú,817,Trà Vinh
81701,Thành phố Trà Vinh,817,Trà Vinh
81716,Thị xã Duyên Hải,817,Trà Vinh
21105,Huyện Chiêm Hoá,211,Tuyên Quang
21107,Huyện Hàm Yên,211,Tuyên Quang
21113,Huyện Lâm Bình,211,Tuyên Quang
21103,Huyện Na Hang,211,Tuyên Quang
21111,Huyện Sơn Dương,211,Tuyên Quang
21109,Huyện Yên Sơn,211,Tuyên Quang
21101,Thành Phố Tuyên Quang,211,Tuyên Quang
70913,Huyện Bến Cầu,709,Tây Ninh
70909,Huyện Châu Thành,709,Tây Ninh
70907,Huyện Dương Minh Châu,709,Tây Ninh
70915,Huyện Gò Dầu,709,Tây Ninh
70917,Huyện Trảng Bàng,709,Tây Ninh
70903,Huyện Tân Biên,709,Tây Ninh
70905,Huyện Tân Châu,709,Tây Ninh
70901,Thành phố Tây Ninh,709,Tây Ninh
70911,Thị xã Hoà Thành,709,Tây Ninh
80908,Huyện Bình Tân,809,Vĩnh Long
80903,Huyện Long Hồ,809,Vĩnh Long
80905,Huyện Mang Thít,809,Vĩnh Long
80909,Huyện Tam Bình,809,Vĩnh Long
80911,Huyện Trà Ôn,809,Vĩnh Long
80913,Huyện Vũng Liêm,809,Vĩnh Long
80901,Thành phố  Vĩnh Long,809,Vĩnh Long
80907,Thị xã Bình Minh,809,Vĩnh Long
21913,Huyện Bình Xuyên,219,Vĩnh Phúc
21903,Huyện Lập Thạch,219,Vĩnh Phúc
21911,Huyện Mê Linh (Chuyển Hà Nội),219,Vĩnh Phúc
21915,Huyện Sông Lô,219,Vĩnh Phúc
21905,Huyện Tam Dương,219,Vĩnh Phúc
21904,Huyện Tam Đảo,219,Vĩnh Phúc
21907,Huyện Vĩnh Tường,219,Vĩnh Phúc
21909,Huyện Yên Lạc,219,Vĩnh Phúc
21902,Thành phố Phúc Yên,219,Vĩnh Phúc
21901,Thành phố Vĩnh Yên,219,Vĩnh Phúc
21305,Huyện Lục Yên,213,Yên Bái
21309,Huyện Mù Cang Chải,213,Yên Bái
21317,Huyện Trạm Tấu,213,Yên Bái
21311,Huyện Trấn Yên,213,Yên Bái
21315,Huyện Văn Chấn,213,Yên Bái
21307,Huyện Văn Yên,213,Yên Bái
21313,Huyện Yên Bình,213,Yên Bái
21301,Thành phố  Yên Bái,213,Yên Bái
21303,Thị xã Nghĩa Lộ,213,Yên Bái
30111,Huyện Mường Chà,301,Điện Biên
30104,Huyện Mường Nhé,301,Điện Biên
30105,Huyện Mường Tè (hêt h.lực),301,Điện Biên
30121,Huyện Mường ảng,301,Điện Biên
30123,Huyện Nậm Pồ,301,Điện Biên
30107,Huyện Phong Thổ (hêt h.lực),301,Điện Biên
30109,Huyện Sìn Hồ (hêt h.lực),301,Điện Biên
30108,Huyện Tam Đường (hêt h.lực),301,Điện Biên
30115,Huyện Tuần Giáo,301,Điện Biên
30113,Huyện Tủa Chùa,301,Điện Biên
30117,Huyện Điện Biên,301,Điện Biên
30119,Huyện Điện Biên Đông,301,Điện Biên
30101,TP Điện Biên Phủ,301,Điện Biên
30103,Thị xã Mường Lay,301,Điện Biên
50111,Huyện Hoà Vang,501,Đà Nẵng
50113,Huyện Đảo Hoàng Sa,501,Đà Nẵng
50115,Quận Cẩm Lệ,501,Đà Nẵng
50101,Quận Hải Châu,501,Đà Nẵng
50109,Quận Liên Chiểu,501,Đà Nẵng
50107,Quận Ngũ Hành Sơn,501,Đà Nẵng
50105,Quận Sơn Trà,501,Đà Nẵng
50103,Quận Thanh Khê,501,Đà Nẵng
60511,Huyện Buôn Đôn,605,Đắc Lắc
60521,Huyện Cư Jút (hêt h.lực),605,Đắc Lắc
60537,Huyện Cư Kuin,605,Đắc Lắc
60534,Huyện Cư Kuin,605,Đắc Lắc
60513,Huyện Cư M'gar,605,Đắc Lắc
60503,Huyện Ea H'leo,605,Đắc Lắc
60515,Huyện Ea Kar,605,Đắc Lắc
60505,Huyện Ea Súp,605,Đắc Lắc
60523,Huyện Krông A Na,605,Đắc Lắc
60539,Huyện Krông Buk,605,Đắc Lắc
60525,Huyện Krông Bông,605,Đắc Lắc
60529,Huyện Krông Nô (hêt h.lực),605,Đắc Lắc
60507,Huyện Krông Năng,605,Đắc Lắc
60519,Huyện Krông Pắc,605,Đắc Lắc
60531,Huyện Lắk,605,Đắc Lắc
60517,Huyện M'ĐrắK,605,Đắc Lắc
60527,Huyện Đắk Mil (hêt h.lực),605,Đắc Lắc
60535,Huyện Đắk Nông (hêt h.lực),605,Đắc Lắc
60533,Huyện Đắk R'Lấp (hêt h.lực),605,Đắc Lắc
60532,Huyện Đắk Song (hêt h.lực),605,Đắc Lắc
60501,TP.Buôn Ma Thuột,605,Đắc Lắc
60509,Thị xã Buôn Hồ,605,Đắc Lắc
60603,Huyện Cư Jút,606,Đắk Nông
60605,Huyện Krông Nô,606,Đắk Nông
60617,Huyện Tuy Đức,606,Đắk Nông
60615,Huyện Đắk Glong,606,Đắk Nông
60607,Huyện Đắk Mil,606,Đắk Nông
60601,Huyện Đắk Nông (hêt h.lực),606,Đắk Nông
60611,Huyện Đắk R'Lấp,606,Đắk Nông
60609,Huyện Đắk Song,606,Đắk Nông
60613,Thành phố Gia Nghĩa,606,Đắk Nông
71311,Huyện Cẩm Mỹ,713,Đồng Nai
71315,Huyện Long Thành,713,Đồng Nai
71317,Huyện Nhơn Trạch,713,Đồng Nai
71309,Huyện Thống Nhất,713,Đồng Nai
71308,Huyện Trảng Bom,713,Đồng Nai
71303,Huyện Tân Phú,713,Đồng Nai
71307,Huyện Vĩnh Cửu,713,Đồng Nai
71313,Huyện Xuân Lộc,713,Đồng Nai
71305,Huyện Định Quán,713,Đồng Nai
71302,Thành Phố Long Khánh,713,Đồng Nai
71301,Thành phố Biên Hoà,713,Đồng Nai
80315,Huyện Cao Lãnh,803,Đồng Tháp
80321,Huyện Châu Thành,803,Đồng Tháp
80307,Huyện Hồng Ngự,803,Đồng Tháp
80319,Huyện Lai Vung,803,Đồng Tháp
80317,Huyện Lấp Vò,803,Đồng Tháp
80309,Huyện Tam Nông,803,Đồng Tháp
80311,Huyện Thanh Bình,803,Đồng Tháp
80313,Huyện Tháp mười,803,Đồng Tháp
80305,Huyện Tân Hồng,803,Đồng Tháp
80301,Thành phố Cao Lãnh,803,Đồng Tháp
80323,Thành phố Hồng Ngự,803,Đồng Tháp
80303,Thành phố Sa Đéc,803,Đồng Tháp
